algorithm,preprocessing,k,silhouette,davies_bouldin,calinski_harabasz,eps
KMeans,StandardScaler+PCA+OutlierRemoval,2,0.20711925807454518,1.8373558597579172,724.0046539541529,
KMeans,StandardScaler+PCA+OutlierRemoval,3,0.17621963873245836,2.0560651531879164,493.16514930578336,
KMeans,StandardScaler+PCA+OutlierRemoval,4,0.12656451598922824,2.4927817721379544,406.40617465182646,
KMeans,StandardScaler+PCA+OutlierRemoval,5,0.12269992073916289,2.295210949445798,346.4056578809074,
KMeans,StandardScaler+PCA+OutlierRemoval,6,0.10376714926288551,2.3514336435920526,307.0524161904756,
KMeans,StandardScaler+PCA+OutlierRemoval,7,0.10904691693801052,2.3720975880681388,278.8979908561719,
KMeans,StandardScaler+PCA+OutlierRemoval,8,0.11485260549385372,2.2942670168800183,257.4995460207938,
GMM,StandardScaler+PCA+OutlierRemoval,2,0.18363859129389398,1.9528615716532076,597.2880131692465,
GMM,StandardScaler+PCA+OutlierRemoval,3,0.09858259006302646,2.456235330180578,308.8758510697752,
GMM,StandardScaler+PCA+OutlierRemoval,4,0.08490836438804232,5.5579330046446955,305.0061623368491,
GMM,StandardScaler+PCA+OutlierRemoval,5,0.08699299723013207,2.78202381153158,293.4916971787366,
GMM,StandardScaler+PCA+OutlierRemoval,6,0.07683630576303678,2.9109234880332444,246.15031646776913,
GMM,StandardScaler+PCA+OutlierRemoval,7,0.07521249026923335,3.220161762686671,228.53248770659764,
GMM,StandardScaler+PCA+OutlierRemoval,8,0.05665357071409529,3.2972499443723526,174.38657421630117,
Agglomerative,StandardScaler+PCA+OutlierRemoval,2,0.2012728094755953,1.8674679107348315,692.1526119648116,
Agglomerative,StandardScaler+PCA+OutlierRemoval,3,0.14742184588747836,2.1998504535780516,438.7891537401129,
Agglomerative,StandardScaler+PCA+OutlierRemoval,4,0.11115143610890402,2.6642557810970646,344.60102304972304,
Agglomerative,StandardScaler+PCA+OutlierRemoval,5,0.11465404215333065,2.42687645047502,299.4780054903242,
Agglomerative,StandardScaler+PCA+OutlierRemoval,6,0.09427416531916608,2.5826134670898444,273.22003562371765,
