algorithm,preprocessing,k,silhouette,davies_bouldin,calinski_harabasz,eps
KMeans,StandardScaler,2,0.1915388161133572,1.9415693090306976,731.2161773873186,
KMeans,StandardScaler,3,0.162138791782116,2.1389151399786095,497.3631145436122,
KMeans,StandardScaler,4,0.11856368190601561,2.5704319655072725,416.19812441922653,
KMeans,StandardScaler,5,0.11449889243359769,2.362313884324031,354.2033505374988,
KMeans,StandardScaler,6,0.09589359128552725,2.3937732900648485,315.3933247780501,
KMeans,StandardScaler,7,0.0929310125585637,2.4249301938909653,285.34195083705043,
KMeans,StandardScaler,8,0.09501653289049279,2.429227601537427,261.8932436562822,
GMM,StandardScaler,2,0.18087799244466632,1.9830950639399374,667.889036035739,
GMM,StandardScaler,3,0.11783543310826632,2.6123275235166363,435.7585963288919,
GMM,StandardScaler,4,0.09143829207928258,2.650340663132758,306.9116518032447,
GMM,StandardScaler,5,0.08725800158922489,2.8693128206722145,291.6817621245861,
GMM,StandardScaler,6,0.05926532698103941,3.3048712683138883,223.0680783833116,
GMM,StandardScaler,7,0.03964276000268402,3.492159731088208,174.85986792534462,
GMM,StandardScaler,8,0.07076616017740504,3.055353234694606,189.34213252852842,
Agglomerative,StandardScaler,2,0.17608783036787198,1.9994470434429155,643.7804944681526,
Agglomerative,StandardScaler,3,0.11416414874813696,2.681142482628639,433.87167485945014,
Agglomerative,StandardScaler,4,0.10210205196118367,2.671102270112314,365.0432205827074,
Agglomerative,StandardScaler,5,0.08964100071147098,2.7590882425124086,307.5894864489033,
Agglomerative,StandardScaler,6,0.08255098076050052,2.534868807771154,272.94015549192176,
Agglomerative,StandardScaler,7,0.08479422596800466,2.665233784570069,249.01201595016337,
Agglomerative,StandardScaler,8,0.09021836001427254,2.480930362058537,229.01191864478966,
Spectral,StandardScaler,2,0.1882742146812185,1.9426333239182798,707.2465787111004,
Spectral,StandardScaler,3,0.15299700769847638,2.113310748922317,471.24300647376697,
Spectral,StandardScaler,4,0.1308897929907663,1.980388172175404,349.13065623625926,
Spectral,StandardScaler,5,0.06449704507385219,1.964070568553532,276.2000147915677,
Spectral,StandardScaler,6,0.06612475718741856,1.942968784565643,239.67740369441083,
Spectral,StandardScaler,7,0.08414703662207,2.2851284138420445,245.19772869200565,
Spectral,StandardScaler,8,0.05031719127889965,1.8920649449427633,181.82645756639184,
DBSCAN,StandardScaler,,0.9073793892086588,0.11851986188792683,433.2309195373618,1.0
DBSCAN,StandardScaler,,0.7778674104434449,0.2952754877336728,131.88325675407222,1.5
