algorithm,preprocessing,k,eps,min_samples,threshold,n_clusters,silhouette,davies_bouldin,calinski_harabasz
KMeans,OutlierRemoval,2,,,,,0.19414906994304484,1.922555871637164,699.020702770539
KMeans,OutlierRemoval,3,,,,,0.16435531059719005,2.1066875655791875,474.0940258061069
KMeans,OutlierRemoval,4,,,,,0.11999760493045045,2.5455370804287925,398.1093978202826
KMeans,OutlierRemoval,5,,,,,0.11666186833872905,2.345875503946066,338.9365459688661
KMeans,OutlierRemoval,6,,,,,0.10664408924390119,2.432750344733295,299.72876551614274
KMeans,OutlierRemoval,7,,,,,0.10238675415240485,2.3911716705802752,273.73915266518895
KMeans,OutlierRemoval,8,,,,,0.10754227338400825,2.325188563196857,253.01415872865948
GMM,OutlierRemoval,2,,,,,0.18366710671649128,1.9601330981572078,641.1882872117698
GMM,OutlierRemoval,3,,,,,0.10811126124308126,3.804985559660647,333.61865957684864
GMM,OutlierRemoval,4,,,,,0.04539425942407063,3.10726090078544,188.393699536683
GMM,OutlierRemoval,5,,,,,0.024229241778428914,3.476117044478613,160.49337765353894
GMM,OutlierRemoval,6,,,,,0.08919535906162848,3.067366543450205,252.9741897717244
GMM,OutlierRemoval,7,,,,,0.08230267462829775,2.990657722617519,210.4069596008569
GMM,OutlierRemoval,8,,,,,0.08081373260916568,2.859974592347782,203.28930596282086
Agglomerative,OutlierRemoval,2,,,,,0.18482756141961346,1.9720022859552098,655.2025304378707
Agglomerative,OutlierRemoval,3,,,,,0.11643183518521588,2.695225910953343,419.91498950603204
Agglomerative,OutlierRemoval,4,,,,,0.08710789658731183,2.786333184884133,339.39633781029175
Agglomerative,OutlierRemoval,5,,,,,0.0913690572772643,2.551501826816561,294.96436102992686
Agglomerative,OutlierRemoval,6,,,,,0.08864406718837434,2.6312536062044924,260.446197169245
Agglomerative,OutlierRemoval,7,,,,,0.09107756944915256,2.5317024068648233,237.7004513111976
Agglomerative,OutlierRemoval,8,,,,,0.08777004783983385,2.5305168667330173,219.93581340979668
Spectral,OutlierRemoval,2,,,,,0.11512459073869612,2.0948170101177683,325.07879782619864
Spectral,OutlierRemoval,3,,,,,0.1560981168482067,2.087820908588844,452.32286771905024
Spectral,OutlierRemoval,4,,,,,0.08234879593047748,2.097422922317201,324.2018393289802
Spectral,OutlierRemoval,5,,,,,0.07247376414137939,1.9888543270414953,270.434797504047
Spectral,OutlierRemoval,6,,,,,0.07354767782636176,1.9124515361795043,234.57930425116254
Spectral,OutlierRemoval,7,,,,,0.06691868711574701,1.88608919771247,202.79711280228224
Spectral,OutlierRemoval,8,,,,,0.05773975678826903,1.8624879826566252,178.37282929944936
DBSCAN,OutlierRemoval,,1.0,,,,0.9080077461020654,0.11771514427065313,439.14570674998464
DBSCAN,OutlierRemoval,,1.5,,,,0.7799537329068976,0.29211801263433285,134.08252662461447
BIRCH,OutliersRemoval,,,,0.2,2757,0.0035016945578491233,0.0272340366338938,1046.2613663168686
BIRCH,OutliersRemoval,,,,0.5,2738,0.010906455366829555,0.08397060360153626,141.09791718913496
BIRCH,OutliersRemoval,,,,1.0,2640,0.028045881256750227,0.22905336893521633,31.3832906957695
BIRCH,OutliersRemoval,,,,1.5,2301,0.038660975376718046,0.453801968636089,13.000955478927477
OPTICS,OutliersRemoval,,,3,,104,-0.305516346607488,1.415179586713402,4.572183777146833
OPTICS,OutliersRemoval,,,5,,33,-0.3073943140261832,1.4707102950918347,6.426972083471988
OPTICS,OutliersRemoval,,,10,,4,-0.11738892229916632,1.4608474195152876,11.210869239855283
