algorithm,preprocessing,k,eps,min_samples,threshold,n_clusters,silhouette,davies_bouldin,calinski_harabasz
KMeans,PCA+Outliers,2,,,,,0.2039447027965695,1.865339437528797,744.8371335649662
KMeans,PCA+Outliers,3,,,,,0.17461593834750902,2.0502059113761795,507.04963205841653
KMeans,PCA+Outliers,4,,,,,0.12616792622235398,2.4563057597965123,427.5535830804133
KMeans,PCA+Outliers,5,,,,,0.12313552449918465,2.26443213513049,365.039161213242
KMeans,PCA+Outliers,6,,,,,0.1204076211757687,2.2551091105484393,321.92416558702536
KMeans,PCA+Outliers,7,,,,,0.10966839195991152,2.30676459067046,295.90479395834757
KMeans,PCA+Outliers,8,,,,,0.1036260834354373,2.331259551108185,270.13437300238706
GMM,PCA+Outliers,2,,,,,0.19162321958741674,1.9058254374803276,669.0564940732455
GMM,PCA+Outliers,3,,,,,0.15188260401652556,1.969961357881686,425.0627626501997
GMM,PCA+Outliers,4,,,,,0.11016463621561273,2.533512479467976,372.47984970520275
GMM,PCA+Outliers,5,,,,,0.07951840846226259,2.709723076282775,293.67663156209505
GMM,PCA+Outliers,6,,,,,0.055335030600110885,3.3425901287230935,229.93109091421178
GMM,PCA+Outliers,7,,,,,0.051775431144349356,2.83790446896506,227.81912286329293
GMM,PCA+Outliers,8,,,,,0.0495353783885332,3.4259983337757696,193.595479656465
Agglomerative,PCA+Outliers,2,,,,,0.19831149269092826,1.8689553164241883,705.2349778554558
Agglomerative,PCA+Outliers,3,,,,,0.16428911198279997,1.9694809806585154,466.66619353283426
Agglomerative,PCA+Outliers,4,,,,,0.1060393306121312,2.702525933276984,383.51800923688234
Agglomerative,PCA+Outliers,5,,,,,0.10743436649425446,2.5608644622620904,322.18682636508987
Agglomerative,PCA+Outliers,6,,,,,0.10026846718830242,2.355862737867619,286.9056237478312
Agglomerative,PCA+Outliers,7,,,,,0.09030947006392286,2.3387465489578547,263.81044449323144
Agglomerative,PCA+Outliers,8,,,,,0.08907598052008468,2.4216623975687384,241.47098616641014
Spectral,PCA+Outliers,2,,,,,0.12330832477493207,2.03694046479404,342.63011336505997
Spectral,PCA+Outliers,3,,,,,0.16636557254026987,2.0297227831932143,482.3860131088567
Spectral,PCA+Outliers,4,,,,,0.09037849858278836,2.024299629147928,345.51392561221684
Spectral,PCA+Outliers,5,,,,,0.08481762105516481,1.9024562980275257,295.24133919682276
Spectral,PCA+Outliers,6,,,,,0.08331781812723323,1.888947571881878,253.05121027975605
Spectral,PCA+Outliers,7,,,,,0.07451141458630323,1.8494827002743246,216.2896065497629
Spectral,PCA+Outliers,8,,,,,0.09318858215767037,2.0731511251192902,228.53921524212106
DBSCAN,PCA+Outliers,,1.0,,,,0.9077210291915468,0.11819827239117388,435.24204032325014
DBSCAN,PCA+Outliers,,1.5,,,,0.5916223816210803,0.6583995634752894,102.06226627585816
BIRCH,PCA+Outliers,,,,0.2,2757,0.003517792707360167,0.027643788027537107,1031.2584012056673
BIRCH,PCA+Outliers,,,,0.5,2735,0.011529123952516587,0.08915632178714837,134.83243852612804
BIRCH,PCA+Outliers,,,,1.0,2605,0.0324817375886409,0.2597155163721035,28.220220546865118
BIRCH,PCA+Outliers,,,,1.5,2182,0.042210825300373706,0.5074632019607664,13.148324110979791
OPTICS,PCA+Outliers,,,3,,115,-0.32134664727846096,1.376928691625464,4.154453120303065
OPTICS,PCA+Outliers,,,5,,33,-0.3111845740814872,1.465021542646736,6.396165316877742
OPTICS,PCA+Outliers,,,10,,4,-0.11497546741328746,1.4308908022973272,11.28112134210397
