algorithm,preprocessing,k,silhouette,davies_bouldin,calinski_harabasz,eps
KMeans,PCA,2,0.19968859742126485,1.8929761933663676,770.776670108782,
KMeans,PCA,3,0.17070390607310554,2.096863076027088,525.7886335744406,
KMeans,PCA,4,0.12346241498096411,2.4999179673097958,441.41084805631345,
KMeans,PCA,5,0.11975342771788636,2.292897057118817,376.54130799556714,
KMeans,PCA,6,0.1083848036362071,2.298080843504166,335.7627432327389,
KMeans,PCA,7,0.1094933295453633,2.380507382301235,303.62177392236146,
KMeans,PCA,8,0.11069368108773676,2.285995895851149,281.151228455916,
GMM,PCA,2,0.18570704268765437,1.94227504870528,679.9824322072093,
GMM,PCA,3,0.1447727648506374,2.0194830548232385,430.0775676250477,
GMM,PCA,4,0.07909928292821046,3.1140530463725624,321.38051907846295,
GMM,PCA,5,0.050026672497497725,3.170639991264276,267.3820926731296,
GMM,PCA,6,0.062181204409362416,2.8223282283210707,256.8724987785891,
GMM,PCA,7,0.057733759860226136,3.000999756099656,227.8428618619482,
GMM,PCA,8,0.04741942250976031,3.1760546173071447,205.69957584072836,
Agglomerative,PCA,2,0.18371110451715197,1.9603544144469691,673.49015090162,
Agglomerative,PCA,3,0.11593211907843844,2.6198007196522135,453.2987614475525,
Agglomerative,PCA,4,0.10653690792662765,2.607505480979583,384.0918241655729,
Agglomerative,PCA,5,0.09886287597635215,2.347768444245559,322.99402732302553,
Agglomerative,PCA,6,0.09473113827568572,2.394866549051535,284.2939152513855,
Agglomerative,PCA,7,0.0875256366746969,2.664296140413424,258.0690090625333,
Agglomerative,PCA,8,0.09070826261395237,2.4917236485974663,236.51455455542975,
Spectral,PCA,2,0.19675983521144458,1.8952387085983189,746.4422880528477,
Spectral,PCA,3,0.1612924270787098,2.0685356799878356,494.7752124489805,
Spectral,PCA,4,0.08314355847829498,1.9898725757189175,348.4491413280735,
Spectral,PCA,5,0.07370088634743002,1.9083728636561303,294.3169047030563,
Spectral,PCA,6,0.07415964802072385,1.8913538336838445,253.51879933445858,
Spectral,PCA,7,0.06456339584094753,1.8543182135944816,216.65796937447226,
Spectral,PCA,8,0.08355659052778583,2.1156559813545286,230.16379550734655,
DBSCAN,PCA,,0.9078406832904686,0.118035301541775,436.6473186433219,1.0
DBSCAN,PCA,,0.5327658799674649,0.7982252312452187,82.298126644722,1.5
BIRCH,PCA,,0.004676426199849413,0.02756369742941889,1276.3013162378656,
BIRCH,PCA,,0.013143451584262078,0.08911988855821827,129.10569946170781,
BIRCH,PCA,,0.03254532778389614,0.2638700327079538,27.549984200304205,
BIRCH,PCA,,0.04315700821808632,0.49687578873769306,13.216234243482143,
OPTICS,PCA,,-0.33087814996421305,1.3749293240997196,4.230829705543445,
OPTICS,PCA,,-0.3103395198379339,1.459530947039666,6.83441531668226,
OPTICS,PCA,,-0.1253920804957024,1.4230071416946257,9.889081606820104,
