algorithm,preprocessing,k,eps,min_samples,threshold,n_clusters,silhouette,davies_bouldin,calinski_harabasz
KMeans,Scaled,2,,,,,0.1915388161133572,1.9415693090306976,731.2161773873186
KMeans,Scaled,3,,,,,0.162138791782116,2.1389151399786095,497.3631145436122
KMeans,Scaled,4,,,,,0.11856368190601561,2.5704319655072725,416.19812441922653
KMeans,Scaled,5,,,,,0.11449889243359769,2.362313884324031,354.2033505374988
KMeans,Scaled,6,,,,,0.09589359128552725,2.3937732900648485,315.3933247780501
KMeans,Scaled,7,,,,,0.0929310125585637,2.4249301938909653,285.34195083705043
KMeans,Scaled,8,,,,,0.09501653289049279,2.429227601537427,261.8932436562822
GMM,Scaled,2,,,,,0.18087799244466632,1.9830950639399374,667.889036035739
GMM,Scaled,3,,,,,0.11783543310826632,2.6123275235166363,435.7585963288919
GMM,Scaled,4,,,,,0.09143829207928258,2.650340663132758,306.9116518032447
GMM,Scaled,5,,,,,0.08725800158922489,2.8693128206722145,291.6817621245861
GMM,Scaled,6,,,,,0.05926532698103941,3.3048712683138883,223.0680783833116
GMM,Scaled,7,,,,,0.03964276000268402,3.492159731088208,174.85986792534462
GMM,Scaled,8,,,,,0.07076616017740504,3.055353234694606,189.34213252852842
Agglomerative,Scaled,2,,,,,0.17608783036787198,1.9994470434429155,643.7804944681526
Agglomerative,Scaled,3,,,,,0.11416414874813696,2.681142482628639,433.87167485945014
Agglomerative,Scaled,4,,,,,0.10210205196118367,2.671102270112314,365.0432205827074
Agglomerative,Scaled,5,,,,,0.08964100071147098,2.7590882425124086,307.5894864489033
Agglomerative,Scaled,6,,,,,0.08255098076050052,2.534868807771154,272.94015549192176
Agglomerative,Scaled,7,,,,,0.08479422596800466,2.665233784570069,249.01201595016337
Agglomerative,Scaled,8,,,,,0.09021836001427254,2.480930362058537,229.01191864478966
Spectral,Scaled,2,,,,,0.1882742146812185,1.9426333239182798,707.2465787111004
Spectral,Scaled,3,,,,,0.15299700769847638,2.113310748922317,471.2430064737671
Spectral,Scaled,4,,,,,0.1308897929907663,1.980388172175404,349.13065623625926
Spectral,Scaled,5,,,,,0.06449704507385219,1.964070568553532,276.2000147915677
Spectral,Scaled,6,,,,,0.06612475718741856,1.942968784565643,239.67740369441083
Spectral,Scaled,7,,,,,0.06691666868726213,2.2034902856907257,203.16630461156257
Spectral,Scaled,8,,,,,0.07469473290972856,2.2104228684752805,215.13928952634393
DBSCAN,Scaled,,1.0,,,,0.9073793892086588,0.11851986188792683,433.2309195373618
DBSCAN,Scaled,,1.5,,,,0.7778674104434449,0.2952754877336728,131.88325675407222
BIRCH,Scaled,,,,0.2,2919,0.004666489292569091,0.027254070476445527,1293.2745481875104
BIRCH,Scaled,,,,0.5,2898,0.011830262253272964,0.08544021247962665,143.44633493027828
BIRCH,Scaled,,,,1.0,2788,0.02898420846935497,0.24446880264784213,29.293102891041414
BIRCH,Scaled,,,,1.5,2437,0.038416441995701,0.4522112037226535,13.217343761920736
OPTICS,Scaled,,,3,,103,-0.3157073089631671,1.421856564192694,4.330614977716718
OPTICS,Scaled,,,5,,27,-0.3131181342766059,1.488663577613865,6.552581878704874
OPTICS,Scaled,,,10,,5,-0.09879213356405349,1.4302349759912254,11.505559452662443
