algorithm,preprocessing,k,silhouette,davies_bouldin,calinski_harabasz,eps
K-Means,raw,2,0.3934260935009891,1.0483514403521625,2555.8622913001323,
K-Means,raw,3,0.3219628556374838,1.1663468264478116,2059.492943831637,
K-Means,raw,4,0.28699540383089167,1.2605534797636149,1835.8978878876298,
K-Means,raw,5,0.2714825119635562,1.4523879108974524,1627.8574283901528,
K-Means,raw,6,0.2642467527243971,1.4749376050052068,1438.7504153506184,
K-Means,raw,7,0.2555214290782184,1.5638953277067047,1313.856523447557,
K-Means,raw,8,0.21380904169062137,1.6935930424571095,1195.0705953620004,
GMM,raw,2,0.0658000707700167,3.365698193672568,216.80839585788698,
GMM,raw,3,0.14125829512253163,2.6297717822182736,938.1876149575975,
GMM,raw,4,0.144670239311431,2.378409371684497,783.7065359399312,
GMM,raw,5,0.11974949240714736,2.28547128289398,619.1656059314105,
GMM,raw,6,0.15413234166427442,2.6990144358769554,844.2316159013849,
GMM,raw,7,0.10771739086045476,3.019809134249935,668.7747793974354,
GMM,raw,8,0.07933974551211119,2.80874288776522,557.0534141472884,
Agglomerative,raw,2,0.37719996291938584,1.0790914516172752,2422.2755731722305,
Agglomerative,raw,3,0.3146080603812451,1.1248776063741859,1720.8727234298983,
Agglomerative,raw,4,0.24599417342352817,1.2742370280116193,1598.357894807356,
Agglomerative,raw,5,0.23093886447491774,1.4624736997954488,1466.1995732908501,
Agglomerative,raw,6,0.2331332221647079,1.5344568369796272,1299.7357793400706,
Agglomerative,raw,7,0.23437039023225525,1.6453973157973731,1200.8548412079847,
Agglomerative,raw,8,0.22824726342890966,1.698837820941085,1095.0758655234613,
Spectral,raw,2,0.3927049384144765,1.0496113090928156,2547.310536824744,
Spectral,raw,3,0.007988539573538723,1.0413063743466433,362.61660048952496,
Spectral,raw,4,0.10776136560072214,1.2217714168444351,787.5096209673062,
Spectral,raw,5,0.10158495986784123,1.4966346438172695,586.9753063123894,
Spectral,raw,6,0.021308435609858362,1.5496178121178918,397.3428406196119,
Spectral,raw,7,0.13551095066416183,1.4912066789091314,843.5705597177832,
Spectral,raw,8,0.14949374975846833,1.60895986584347,812.3972542813605,
DBSCAN,raw,,-0.3802864498082903,1.2260146585186036,24.233783710639013,0.5
DBSCAN,raw,,-0.05123171551577278,1.4855103744298679,44.67292894636256,1.0
DBSCAN,raw,,0.035241901612586966,6.398403912121551,5.702508593687389,1.5
