algorithm,preprocessing,k,silhouette,davies_bouldin,calinski_harabasz,eps
KMeans,StandardScaler+OutlierRemoval,2,0.3826440370942277,1.0763255377486274,2315.2838386949757,
KMeans,StandardScaler+OutlierRemoval,3,0.31040023278433976,1.2067233317286339,1848.979335048899,
KMeans,StandardScaler+OutlierRemoval,4,0.2746801071309287,1.3043992437165777,1632.0533860041676,
KMeans,StandardScaler+OutlierRemoval,5,0.25945731974017455,1.5103142021689007,1441.3214028306222,
KMeans,StandardScaler+OutlierRemoval,6,0.25232267890328636,1.531548693229347,1269.5953923332238,
KMeans,StandardScaler+OutlierRemoval,7,0.2547425250322536,1.5827049582330623,1155.931266491027,
KMeans,StandardScaler+OutlierRemoval,8,0.231102192462004,1.7167003436407409,1053.1693039327404,
GMM,StandardScaler+OutlierRemoval,2,0.066577520936446,3.3104879507162868,213.36828950004923,
GMM,StandardScaler+OutlierRemoval,3,0.13602185404535538,2.632668067946938,855.0594772818811,
GMM,StandardScaler+OutlierRemoval,4,0.06457371596957631,2.7624132557696566,480.43255367602876,
GMM,StandardScaler+OutlierRemoval,5,0.16371901779855225,3.9434709312985303,687.0147728453294,
GMM,StandardScaler+OutlierRemoval,6,0.053087215702674724,3.3189119951133983,451.429676119462,
GMM,StandardScaler+OutlierRemoval,7,0.12426806341392976,2.6886660020724866,680.1425413192754,
GMM,StandardScaler+OutlierRemoval,8,0.11385750849089402,2.810345513830322,498.16412938929403,
Agglomerative,StandardScaler+OutlierRemoval,2,0.3600906662746034,1.0862512319073907,1916.0756510372742,
Agglomerative,StandardScaler+OutlierRemoval,3,0.2979475451912769,1.2014360402744737,1742.6801879083685,
Agglomerative,StandardScaler+OutlierRemoval,4,0.26240853194419933,1.2420592626545175,1462.100253808707,
Agglomerative,StandardScaler+OutlierRemoval,5,0.24153191551467557,1.5470824121048423,1357.177788788118,
Agglomerative,StandardScaler+OutlierRemoval,6,0.23459310960470084,1.6215728507547695,1202.944567410081,
Agglomerative,StandardScaler+OutlierRemoval,7,0.22301490963855816,1.6914767342089192,1085.1626287880933,
Agglomerative,StandardScaler+OutlierRemoval,8,0.21774559914517172,1.7610342946377802,978.4772095955736,
Spectral,StandardScaler+OutlierRemoval,2,0.3765354729736555,1.0860489630811265,2245.535502198847,
Spectral,StandardScaler+OutlierRemoval,3,0.2178592167978254,1.1085515653841813,1082.87980593166,
Spectral,StandardScaler+OutlierRemoval,4,0.11625607207094885,1.5936066548488532,729.8312131960583,
Spectral,StandardScaler+OutlierRemoval,5,0.1393267755638027,1.6821687989602896,1023.2253109597613,
Spectral,StandardScaler+OutlierRemoval,6,0.1641497838306177,1.7192864554796057,1016.9192851957722,
Spectral,StandardScaler+OutlierRemoval,7,0.14757511580797214,1.6712507889556778,839.9377512211985,
Spectral,StandardScaler+OutlierRemoval,8,0.1276795516589753,1.7609579337593575,704.9535761260513,
DBSCAN,StandardScaler+OutlierRemoval,,0.42016537221411826,0.8556703844223938,384.773740003174,0.5
DBSCAN,StandardScaler+OutlierRemoval,,0.242550514825796,1.332553002857293,236.58613446630912,1.0
