algorithm,preprocessing,k,silhouette,davies_bouldin,calinski_harabasz,eps
KMeans,StandardScaler+PCA,2,0.19968859742126485,1.8929761933663676,770.776670108782,
KMeans,StandardScaler+PCA,3,0.17070390607310554,2.096863076027088,525.7886335744406,
KMeans,StandardScaler+PCA,4,0.12346241498096411,2.4999179673097958,441.41084805631345,
KMeans,StandardScaler+PCA,5,0.11975342771788636,2.292897057118817,376.54130799556714,
KMeans,StandardScaler+PCA,6,0.1083848036362071,2.298080843504166,335.7627432327389,
KMeans,StandardScaler+PCA,7,0.1094933295453633,2.380507382301235,303.62177392236146,
KMeans,StandardScaler+PCA,8,0.11069368108773676,2.285995895851149,281.151228455916,
GMM,StandardScaler+PCA,2,0.18570704268765437,1.94227504870528,679.9824322072093,
GMM,StandardScaler+PCA,3,0.1447727648506374,2.0194830548232385,430.0775676250477,
GMM,StandardScaler+PCA,4,0.07909928292821046,3.1140530463725624,321.38051907846295,
GMM,StandardScaler+PCA,5,0.050026672497497725,3.170639991264276,267.3820926731296,
GMM,StandardScaler+PCA,6,0.062181204409362416,2.8223282283210707,256.8724987785891,
GMM,StandardScaler+PCA,7,0.057733759860226136,3.000999756099656,227.8428618619482,
GMM,StandardScaler+PCA,8,0.04741942250976031,3.1760546173071447,205.69957584072836,
Agglomerative,StandardScaler+PCA,2,0.18371110451715197,1.9603544144469691,673.49015090162,
Agglomerative,StandardScaler+PCA,3,0.11593211907843844,2.6198007196522135,453.2987614475525,
Agglomerative,StandardScaler+PCA,4,0.10653690792662765,2.607505480979583,384.0918241655729,
Agglomerative,StandardScaler+PCA,5,0.09886287597635215,2.347768444245559,322.99402732302553,
Agglomerative,StandardScaler+PCA,6,0.09473113827568572,2.394866549051535,284.2939152513855,
Agglomerative,StandardScaler+PCA,7,0.0875256366746969,2.664296140413424,258.0690090625333,
Agglomerative,StandardScaler+PCA,8,0.09070826261395237,2.4917236485974663,236.51455455542975,
Spectral,StandardScaler+PCA,2,0.19675983521144458,1.8952387085983189,746.4422880528477,
Spectral,StandardScaler+PCA,3,0.1612924270787098,2.0685356799878356,494.77521244898037,
Spectral,StandardScaler+PCA,4,0.08314355847829498,1.9898725757189175,348.4491413280735,
Spectral,StandardScaler+PCA,5,0.07370088634743002,1.9083728636561308,294.31690470305625,
Spectral,StandardScaler+PCA,6,0.07415964802072385,1.8913538336838442,253.51879933445858,
Spectral,StandardScaler+PCA,7,0.06456249117251812,1.8534914645675713,216.68666457659896,
Spectral,StandardScaler+PCA,8,0.08355659052778583,2.1156559813545286,230.16379550734646,
DBSCAN,StandardScaler+PCA,,0.9078406832904686,0.118035301541775,436.6473186433219,1.0
DBSCAN,StandardScaler+PCA,,0.5327658799674649,0.7982252312452187,82.298126644722,1.5
