algorithm,preprocessing,k,eps,min_samples,threshold,n_clusters,silhouette,davies_bouldin,calinski_harabasz
K-Means,raw,2,,,,,0.6972643037728601,0.5044037959937963,1300.2075740879543
K-Means,raw,3,,,,,0.6695935379216325,0.5727505926131385,1253.8633819696909
K-Means,raw,4,,,,,0.5334604235282214,0.6176944586938494,1465.6707736105832
K-Means,raw,5,,,,,0.5102279689573959,0.6145023440075082,1621.0079582559983
K-Means,raw,6,,,,,0.4856594798405008,0.6733689254899727,1631.2175130304452
K-Means,raw,7,,,,,0.4666104915707838,0.680073222820974,1721.2330758888527
K-Means,raw,8,,,,,0.4788909091978483,0.6082523315683945,1752.1411806020626
GMM,raw,2,,,,,0.5136974005443669,0.7206448584995597,633.631726442391
GMM,raw,3,,,,,0.5066601025073267,0.6590757352582923,734.9567649790142
GMM,raw,4,,,,,0.2388300970737153,0.9392628288799879,598.2213208376555
GMM,raw,5,,,,,0.31326472514709025,1.0977594497791503,764.1159277207031
GMM,raw,6,,,,,0.027697385216351008,2.799955448898094,428.2485053965554
GMM,raw,7,,,,,0.14924467731208924,1.0508941894787411,754.8838431216492
GMM,raw,8,,,,,0.018915921814036674,7.064875067633393,370.79532234808454
Agglomerative,raw,2,,,,,0.6899793200055596,0.4794642653331062,1088.161465912142
Agglomerative,raw,3,,,,,0.5082533207826048,0.6314300833273553,1089.928603036464
Agglomerative,raw,4,,,,,0.5090022049442345,0.6090636980380596,1245.5658374532125
Agglomerative,raw,5,,,,,0.5114434216758691,0.6114083519013025,1541.8568292146363
Agglomerative,raw,6,,,,,0.5051775144868977,0.700346649037593,1538.7032507314664
Agglomerative,raw,7,,,,,0.4354261741836538,0.6945036285150824,1615.0712676159808
Agglomerative,raw,8,,,,,0.43564036286792907,0.6366538457157758,1633.9173120132223
Spectral,raw,2,,,,,0.4064672388519158,0.7418856687280581,445.0169436039349
Spectral,raw,3,,,,,0.44505956738893226,0.6081117955643683,887.217311456615
Spectral,raw,4,,,,,0.4485739862488545,0.5885833087235236,744.2967786942341
Spectral,raw,5,,,,,0.4437029308525539,0.6189091827451435,796.4893249709432
Spectral,raw,6,,,,,0.4132729760374047,0.6706922297494865,808.4361953163874
Spectral,raw,7,,,,,0.399689870593565,0.6959251036023976,781.675418867794
Spectral,raw,8,,,,,0.40831629777999906,0.6906863983717398,723.3224358770393
DBSCAN,raw,,0.5,,,,0.40831629777999906,0.6906863983717398,723.3224358770393
DBSCAN,raw,,1.0,,,,0.40831629777999906,0.6906863983717398,723.3224358770393
DBSCAN,raw,,1.5,,,,0.40831629777999906,0.6906863983717398,723.3224358770393
OPTICS,raw,,,3,,63,-0.24615808802839195,3.1004405590505675,6.650977151486699
OPTICS,raw,,,5,,23,-0.4228585901742343,2.4915894799454352,5.3381677645160055
OPTICS,raw,,,10,,9,-0.35817996356252757,2.0345782327147512,10.474771188343125
OPTICS,raw,,,20,,2,-0.2761226980740693,0.903373972300764,62.95745296670726
