algorithm,preprocessing,k,eps,min_samples,threshold,n_clusters,silhouette,davies_bouldin,calinski_harabasz
KMeans,Scaled,2,,,,,0.3562703019891899,1.2682886864659446,282.8778501141563
KMeans,Scaled,3,,,,,0.32006879872191035,1.5594613099499108,202.61355361268056
KMeans,Scaled,4,,,,,0.2824631946687407,1.501573157824574,164.59349646885036
KMeans,Scaled,5,,,,,0.16221320205756068,1.747292503071955,145.12930311481563
KMeans,Scaled,6,,,,,0.15426996703757853,1.7740094553722727,130.5885275466502
KMeans,Scaled,7,,,,,0.15698809445222106,1.6500079170030466,122.08713285967816
KMeans,Scaled,8,,,,,0.1487492295749137,1.63836393213474,112.54879581820568
GMM,Scaled,2,,,,,0.3209869674113209,1.3455450648184395,257.74768158096487
GMM,Scaled,3,,,,,0.31261004361820627,1.6337997396459027,170.42805293341198
GMM,Scaled,4,,,,,0.23444262381668593,1.6468776894906065,145.54461892847007
GMM,Scaled,5,,,,,0.0949295866330467,2.1360242733482613,112.91058684466066
GMM,Scaled,6,,,,,0.12924106865398372,1.785190533903477,117.11113755043804
GMM,Scaled,7,,,,,0.11663806471553055,1.8765532557980542,104.8086477766616
GMM,Scaled,8,,,,,0.1360553074719771,1.7994857026257292,100.22988307838679
Agglomerative,Scaled,2,,,,,0.3198305478784648,1.3636017313860402,252.42847346648094
Agglomerative,Scaled,3,,,,,0.30653739793888163,1.6469774908043044,177.9729436983835
Agglomerative,Scaled,4,,,,,0.23150765970731263,1.5740380479726301,144.44639851827878
Agglomerative,Scaled,5,,,,,0.1057027481426471,1.8928766643012929,124.70977297648419
Agglomerative,Scaled,6,,,,,0.11432153016193201,1.8503894653098076,113.08426817199229
Agglomerative,Scaled,7,,,,,0.11516733177062187,1.6790496486646003,104.22390193464601
Agglomerative,Scaled,8,,,,,0.11854617457601699,1.6060500260630381,98.6576310490441
Spectral,Scaled,2,,,,,0.32389234161495334,1.3232187455428708,257.8206502480183
Spectral,Scaled,3,,,,,0.2870554088027425,1.6498069973574125,187.0273297181029
Spectral,Scaled,4,,,,,0.1431374523036306,1.8562717856287791,148.63873226690941
Spectral,Scaled,5,,,,,0.11518994243415823,1.7804670634426973,123.72906602510562
Spectral,Scaled,6,,,,,0.10896272479223323,1.6271842005611452,113.97722375615338
Spectral,Scaled,7,,,,,0.10823926156762562,1.6522216121827902,108.62722382246443
Spectral,Scaled,8,,,,,0.10587690518391137,1.662788907023726,100.69606220819911
BIRCH,Scaled,,,,1.0,481,0.01897235112384535,0.4249025537823041,25.15043981419317
BIRCH,Scaled,,,,1.5,322,0.026164461310326927,0.7315094034866532,20.45177818985537
OPTICS,Scaled,,,3,,17,-0.39618719206485065,1.7128137224997912,2.3414405324596688
OPTICS,Scaled,,,10,,2,-0.11336039350309446,1.8981734869578848,5.2056532312805075
