algorithm,preprocessing,k,eps,min_samples,threshold,n_clusters,silhouette,davies_bouldin,calinski_harabasz
KMeans,PCA,2,,,,,0.20285969949800942,1.8256661325292658,19886.858985952713
KMeans,PCA,3,,,,,0.19798275121457892,1.6626701887356443,18081.903287012246
KMeans,PCA,4,,,,,0.19090752265800062,1.7231089515387488,16050.871602583504
KMeans,PCA,5,,,,,0.17320252552152413,1.8441927795799866,14139.648083841326
KMeans,PCA,6,,,,,0.16855048215665405,1.7425481286547084,13205.500920665756
KMeans,PCA,7,,,,,0.17846450208024348,1.8121658571512893,12235.439444276852
KMeans,PCA,8,,,,,0.1662158446247235,1.8068578106870516,11287.938168934488
DBSCAN,PCA,,1.5,,,,0.1662158446247235,1.8068578106870516,11287.938168934488
BIRCH,PCA,,,,0.2,69924,0.1662158446247235,1.8068578106870516,11287.938168934488
BIRCH,PCA,,,,0.5,69863,0.1662158446247235,1.8068578106870516,11287.938168934488
BIRCH,PCA,,,,1.0,67054,0.1662158446247235,1.8068578106870516,11287.938168934488
BIRCH,PCA,,,,1.5,56383,0.1662158446247235,1.8068578106870516,11287.938168934488
GMM,PCA,2,,,,,0.12790084527574822,2.5444429778155055,10236.174824019337
GMM,PCA,3,,,,,0.14229819830609106,2.032527134279148,12487.519943764035
GMM,PCA,4,,,,,0.11106877046765935,2.574655588326577,9564.545556436728
GMM,PCA,5,,,,,0.1064522375283109,3.0339988310965773,8735.528442877268
GMM,PCA,6,,,,,0.09145053647276156,2.6690245297669186,8291.330821109543
GMM,PCA,7,,,,,0.09234137289389775,2.8268101729620816,7794.743323329543
GMM,PCA,8,,,,,0.07671385003034537,2.774017170792735,6695.529128174709
Agglomerative,PCA,2,,,,,0.07671385003034537,2.774017170792735,6695.529128174709
Agglomerative,PCA,3,,,,,0.07671385003034537,2.774017170792735,6695.529128174709
Agglomerative,PCA,4,,,,,0.07671385003034537,2.774017170792735,6695.529128174709
Agglomerative,PCA,5,,,,,0.07671385003034537,2.774017170792735,6695.529128174709
Agglomerative,PCA,6,,,,,0.07671385003034537,2.774017170792735,6695.529128174709
Agglomerative,PCA,7,,,,,0.07671385003034537,2.774017170792735,6695.529128174709
Agglomerative,PCA,8,,,,,0.07671385003034537,2.774017170792735,6695.529128174709
OPTICS,PCA,,,3,,1484,-0.5596466702906648,1.27636006008556,4.139700651147164
OPTICS,PCA,,,5,,161,-0.5405440952989997,1.3290480326000615,6.392755278030917
OPTICS,PCA,,,10,,12,-0.3444962280032717,1.2712317908932347,14.395900738218831
Spectral,PCA,2,,,,,0.18563084884788808,1.8445838449367622,15957.94693704623
Spectral,PCA,3,,,,,0.1223725422408078,1.7824949263809227,11248.415496514363
Spectral,PCA,4,,,,,0.10702333517410474,1.7773415649226736,9640.972899569588
Spectral,PCA,5,,,,,0.11315837820164108,2.056534743180511,8889.27930815244
Spectral,PCA,6,,,,,0.13560828701506444,2.125646947059224,9659.783579648023
Spectral,PCA,7,,,,,0.14177500483434846,1.9307648891325309,8721.237317329678
Spectral,PCA,8,,,,,0.13741478663897677,2.015868615152352,8197.310957438525
