algorithm,preprocessing,k,eps,min_samples,threshold,n_clusters,silhouette,davies_bouldin,calinski_harabasz
KMeans,OutlierRemoval,2,,,,,0.22446629284959302,1.6542540350206294,32162.307906576887
KMeans,OutlierRemoval,3,,,,,0.15069322991990186,2.159242522471049,21855.34649503001
KMeans,OutlierRemoval,4,,,,,0.1399030592526122,1.9935602233767042,17691.85354406902
KMeans,OutlierRemoval,5,,,,,0.11822433918481184,2.14754588856237,15574.009291745091
KMeans,OutlierRemoval,6,,,,,0.11770301710491314,2.008474840321895,14098.031367365886
KMeans,OutlierRemoval,7,,,,,0.11569819105141774,1.9696402635143626,12915.184144723144
KMeans,OutlierRemoval,8,,,,,0.11242694783848844,1.8697962666015873,12069.603109621585
GMM,OutlierRemoval,2,,,,,0.213275094820054,1.7087163864495134,29992.733882073077
GMM,OutlierRemoval,3,,,,,0.1455130448267848,2.1405786419092476,20653.865874306488
GMM,OutlierRemoval,4,,,,,0.11080696835731549,2.4218881995573116,16079.211052063314
GMM,OutlierRemoval,5,,,,,0.10076277672192928,2.392782499042754,14094.653576238961
GMM,OutlierRemoval,6,,,,,0.047222490288846564,9.162419993435043,8615.97039385978
GMM,OutlierRemoval,7,,,,,0.03083960346055055,10.175555995279,7234.127151043063
GMM,OutlierRemoval,8,,,,,0.018156793716944515,6.464533819129061,6548.040561448804
Agglomerative,OutlierRemoval,2,,,,,0.18431925020179996,1.866315785326559,2614.8432663458825
Agglomerative,OutlierRemoval,3,,,,,0.10768005532902612,2.4822637956366513,1663.997066735251
Agglomerative,OutlierRemoval,4,,,,,0.06697210762337145,2.638539251371615,1328.6030549605978
Agglomerative,OutlierRemoval,5,,,,,0.0639156756340569,2.530614228517001,1147.1186589463161
Agglomerative,OutlierRemoval,6,,,,,0.05195325001034431,2.5658394178765613,1019.0003917881213
Agglomerative,OutlierRemoval,7,,,,,0.041016373436627986,2.6149963672194203,929.325617166381
Agglomerative,OutlierRemoval,8,,,,,0.04045916605720813,2.4447763110985075,867.1944158992336
Spectral,OutlierRemoval,2,,,,,0.2224737279824867,1.6559226730537724,3325.4815133250786
Spectral,OutlierRemoval,3,,,,,0.14892006277479442,2.109589825010507,2218.37833678645
Spectral,OutlierRemoval,4,,,,,0.11529097089850393,2.2106795909807335,1735.9998727754403
Spectral,OutlierRemoval,5,,,,,0.11038014218072995,2.164927245421955,1509.2097116421976
Spectral,OutlierRemoval,6,,,,,0.10601561303657063,2.077888886247246,1354.1963376899776
Spectral,OutlierRemoval,7,,,,,0.10588485945614015,1.9318058093675303,1256.0619404383933
Spectral,OutlierRemoval,8,,,,,0.1043538642707954,1.8558981070335132,1174.5392285127414
DBSCAN,OutlierRemoval,,0.5,,,,-0.2624092503428362,1.1379155775314564,15.261724925543465
DBSCAN,OutlierRemoval,,1.0,,,,-0.0007480539272315561,0.7893326693937974,8.385583495724132
BIRCH,OutliersRemoval,,,,0.2,9817,0.016152707501924483,0.1468407314887915,125.98197229988628
BIRCH,OutliersRemoval,,,,0.5,6120,0.044758943162983574,0.6950388432409766,38.74327215801968
BIRCH,OutliersRemoval,,,,1.0,1336,0.08280572782395759,1.3168590958401578,63.859507797280266
BIRCH,OutliersRemoval,,,,1.5,167,0.08470174713007746,1.6774189735683982,201.68487867201875
OPTICS,OutliersRemoval,,,3,,8299,-0.3462386639912592,1.2066139884818408,6.523641573647453
OPTICS,OutliersRemoval,,,5,,1871,-0.5674705143717219,1.2125270063669893,8.004475894455702
OPTICS,OutliersRemoval,,,10,,67,-0.537595767344801,1.29343525320145,12.21146835591665
