algorithm,preprocessing,k,silhouette,davies_bouldin,calinski_harabasz,eps
KMeans,PCA,2,0.23488282122579118,1.5971226068277928,34438.46013753258,
KMeans,PCA,3,0.15930172272423707,2.0740821105480474,23529.18219564569,
KMeans,PCA,4,0.14829521709779953,1.913963050010897,19122.88343445956,
KMeans,PCA,5,0.1263963502462583,2.0580575017451754,16888.19762522011,
KMeans,PCA,6,0.1258393650755062,1.9218222949504524,15336.347638786316,
KMeans,PCA,7,0.12152148148802516,1.8602212024796638,14097.277695995836,
KMeans,PCA,8,0.12117681363270223,1.7949379205441964,13222.180254346296,
GMM,PCA,2,0.23147792457783406,1.6119342898078441,33590.77395230923,
GMM,PCA,3,0.15947073518887567,2.0385139469645934,22944.633607491975,
GMM,PCA,4,0.12330817218420918,2.292142658651746,18190.73294103228,
GMM,PCA,5,0.11359781366821772,2.2780667298692903,15739.710286794092,
GMM,PCA,6,0.05817906713364339,3.2889139658383315,11475.185350904645,
GMM,PCA,7,0.05116961275817427,2.9325808203613373,9411.110703746874,
GMM,PCA,8,0.03740559861220776,4.016342678597852,8802.580050803976,
Agglomerative,PCA,2,0.1986580113662399,1.769885256028561,2870.6956847814463,
Agglomerative,PCA,3,0.1116507913594069,2.5215118729179413,1852.004576670127,
Agglomerative,PCA,4,0.10254337118103003,2.2915364662074555,1480.3386392164357,
Agglomerative,PCA,5,0.0711188747980077,2.5151970388461544,1304.1362610788722,
Agglomerative,PCA,6,0.06756918966185663,2.320616680742338,1181.2030399620767,
Agglomerative,PCA,7,0.06726058289696173,2.316431399409222,1093.7001283010488,
Agglomerative,PCA,8,0.06295097819309009,2.1679481301465438,1008.2180221635583,
Spectral,PCA,2,0.23207553683832252,1.5967595088176731,3505.268537712426,
Spectral,PCA,3,0.15891386806590468,2.0091263088404037,2384.160587923324,
Spectral,PCA,4,0.12285131786388565,2.14298771955915,1874.3111741821594,
Spectral,PCA,5,0.11888350647058607,2.096565870641519,1656.3824168074898,
Spectral,PCA,6,0.11977096581879933,1.9480875946787857,1472.8597479417863,
Spectral,PCA,7,0.11212441579721764,1.8890895226083606,1347.1876250035716,
Spectral,PCA,8,0.11381327887863608,1.7779373582776006,1283.059302243993,
DBSCAN,PCA,,-0.5443265801541584,0.9509598785788991,10.647310812032293,0.5
DBSCAN,PCA,,0.36078110424452997,0.5965164082352128,19.76334330310593,1.0
BIRCH,PCA,,0.05394891302642211,2.3387319229770758,991.6417077346885,
BIRCH,PCA,,0.04976533003120452,2.2270829777522194,962.2308308130121,
BIRCH,PCA,,0.04609890322948607,2.289172124808627,919.3774027311406,
BIRCH,PCA,,0.02731814672004274,2.3888353092003873,878.4405370983699,
OPTICS,PCA,,-0.3938146389102127,1.2194090970351827,6.108986248061976,
OPTICS,PCA,,-0.618139272039126,1.2335662134826408,7.518793816530926,
OPTICS,PCA,,-0.5372566036934663,1.308369745567315,12.291296790971487,

