algorithm,preprocessing,k,eps,min_samples,threshold,n_clusters,silhouette,davies_bouldin,calinski_harabasz
KMeans,Scaled,2,,,,,0.22488886346037273,1.651928213869833,32460.286242286293
KMeans,Scaled,3,,,,,0.15113116493821394,2.155980079990617,22062.76361363965
KMeans,Scaled,4,,,,,0.140296114868535,2.0005630959592184,17842.961077365042
KMeans,Scaled,5,,,,,0.11794285533092684,2.150183304788712,15690.865146386222
KMeans,Scaled,6,,,,,0.11726963213989204,2.012932340569877,14188.343656568371
KMeans,Scaled,7,,,,,0.11265498834425233,1.9464987160105254,12995.223807425102
KMeans,Scaled,8,,,,,0.1123191156997344,1.8780617704724634,12142.738949111283
GMM,Scaled,2,,,,,0.2135731258023553,1.706984307180331,30250.0980523689
GMM,Scaled,3,,,,,0.14585282797853003,2.136268111602339,20849.649592638674
GMM,Scaled,4,,,,,0.12440872782799363,2.178274747451877,16234.442592143256
GMM,Scaled,5,,,,,0.05571112413664658,2.9926655048151174,10557.13173061954
GMM,Scaled,6,,,,,0.042893635261109175,9.238868798348628,8509.981445750705
GMM,Scaled,7,,,,,0.03152427853603306,7.547086597417015,7054.804203097381
GMM,Scaled,8,,,,,0.014785211190188085,8.230833686783637,6099.802963552463
Agglomerative,raw,2,,,,,0.20194827020168304,1.7044077290674715,2867.485107421875
Agglomerative,raw,3,,,,,0.11116401106119156,2.625617316645481,1877.420654296875
Agglomerative,raw,4,,,,,0.09541638195514679,2.4719214087916868,1430.6053466796875
Agglomerative,raw,5,,,,,0.07575391978025436,2.524789450020845,1209.7432861328125
Agglomerative,raw,6,,,,,0.07124892622232437,2.4616611334479686,1063.6588134765625
Agglomerative,raw,7,,,,,0.04614083096385002,2.67439611067979,967.1821899414062
Agglomerative,raw,8,,,,,0.042152758687734604,2.5627516753792325,898.7262573242188
Spectral,Scaled,2,,,,,0.22519207000732422,1.6307198543678207,3349.82666015625
Spectral,Scaled,3,,,,,0.14945818483829498,2.057353858479369,2260.00244140625
Spectral,Scaled,4,,,,,0.11537791788578033,2.236724369188368,1727.75
Spectral,Scaled,5,,,,,0.11356005817651749,2.205819965309788,1515.39697265625
Spectral,Scaled,6,,,,,0.10233205556869507,2.0704050328321912,1345.54736328125
Spectral,Scaled,7,,,,,0.10020030289888382,1.9485196654478323,1239.256103515625
Spectral,Scaled,8,,,,,0.09600193798542023,1.9141020301123937,1163.23095703125
DBSCAN,Scaled,,0.5,,,,-0.2797136290060974,1.1302591704164113,14.771382347131432
DBSCAN,Scaled,,1.0,,,,0.006979264204302506,0.7447009495445275,12.454782754510788
BIRCH,Scaled,,,,0.2,9800,0.01791565492749214,0.14829396468362885,129.2036895751953
BIRCH,Scaled,,,,0.5,6066,0.04932791739702225,0.7000807892236621,39.02687454223633
BIRCH,Scaled,,,,1.0,1361,0.08151466399431229,1.3093627030423198,62.67878341674805
BIRCH,Scaled,,,,1.5,154,0.08853552490472794,1.6416450130563152,213.82015991210938
OPTICS,Scaled,,,3,,8436,-0.3421259441614246,1.205729466010211,6.615960283876645
OPTICS,Scaled,,,5,,1918,-0.564879644412122,1.2109903849266601,8.17090887692125
OPTICS,Scaled,,,10,,73,-0.54433436842146,1.2868357464371667,12.212662838918394
